Data Source,World Development Indicators,...3
"Congo, Rep.",COG,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",352.884273083518,354.34869771835,347.244536017944,343.202083547947,339.909725192867,363.3744695527,337.552003785501,342.500868090812,334.479157115029,338.862265136127,341.699117372881,354.606554545312,389.090308723538,367.26067351895,371.249898631144,354.733702976796,350.144471674255,331.05110085943,333.900857467157,330.71588197735,335.631335412083,322.315650346403,314.868961945556,263.630765869702,292.643176244362,268.223794876512,251.241575947881,245.992206800605,235.711737447715,225.260008028318,243.158748090549,239.216586272234,274.524030016081,281.717231038991,294.011486332757,369.666355606087,316.53514821263,327.754084886485,359.588472348647,375.78776816388,484.355028630781,539.803394192534,540.46314477016,528.170494465301,"","","","","","","","","","
Colombia,COL,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",649.733694149133,635.409746748823,624.669356043039,646.840915850325,661.202115568779,672.716577230801,677.562960025325,659.714415881437,629.923835691901,678.274755561283,671.381115608211,674.686797815126,680.568181424347,687.352898767539,682.9763906347,728.372550027591,737.713777096498,744.593473595241,735.378739593771,746.687838425991,739.81717288089,741.869235564766,760.694933111601,772.172727792912,770.812778514708,775.359041125401,738.968236139458,760.131180629636,668.065908855273,660.362230337866,647.390525666279,625.027129787515,628.609285649082,625.824398431213,642.876066038822,666.787331987166,654.309478160175,676.837335240028,693.523385598888,696.842613556207,690.498443049028,690.025091975839,729.208470937856,730.325495336895,"","","","","","","","","","
Comoros,COM,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",40.1415663905282,"","","","","","","","","","","","","",58.5496225271395,62.4286078251729,69.4498415055403,66.4584302518775,"","","","","","","","","","","","","","","","","
Cabo Verde,CPV,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",77.3680226301714,"","","","","","","","","","","","","",185.660345870622,204.075322346248,207.854452975987,207.581773111107,"","","","","","","","","","","","","","","","","
Costa Rica,CRI,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",427.850841311723,445.205154345574,472.253026766509,450.323414440664,475.49671026067,467.254934643962,529.819843312434,558.251895553563,561.337465452248,525.686293128222,480.350169764601,455.723330822249,436.161952686412,460.304131624178,460.961291720249,470.313245416752,488.088805644832,487.31125570777,529.006411993848,537.344964580265,555.835781668466,699.731872465561,696.358711113566,669.443734530393,666.881648891031,654.204336928328,647.714259703148,630.177395912804,680.656202414178,729.754816152112,721.075384633421,746.180599430037,788.675611000719,920.698615597139,907.184528447119,967.918747425567,1029.26866241364,1032.83742367213,1013.58129744248,1019.78396659147,1009.79666725454,1014.66658833508,1026.88402206293,1029.07710086532,"","","","","","","","","","
Caribbean small states,CSS,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",866.744997608338,"","","","","","","","","","","","","",999.802573058023,1052.6647438415,1048.92350769464,1039.96219864526,"","","","","","","","","","","","","","","","","
Cuba,CUB,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",1168.00988073952,1106.8213112147,1165.39608320742,1218.69511188335,1237.17415461164,1286.62925877331,1387.89006305683,1460.90220531756,1490.04394493491,1493.30786688474,1495.13012065808,1505.64857277259,1574.20859479297,1527.61840981788,1505.72892525402,1487.78450968627,1537.34622424686,1599.72355844692,1738.65465744975,1637.37124827134,1344.01463381864,1170.13562553212,972.385191039487,997.976487460386,994.137951676109,1081.92402670678,1107.96309561414,1035.15723835837,1073.32073123481,1146.5696303817,1116.71891538973,1037.47717048785,1029.38582792648,1003.47200348508,947.353504364996,944.525138426482,898.448801446443,953.558886558183,1010.53350685396,1092.53670465502,1026.88847417762,1061.00109040159,1020.76301403582,1036.62300550915,"","","","","","","","","","
Curacao,CUW,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",37113.339530087,36146.6996141087,40710.1121759965,37557.3403617097,25763.4732345821,28353.1282003226,28090.6736964653,25027.2210649787,25303.0415756403,26517.4512466141,25001.6416715446,27354.0216254389,28902.8506407161,19859.9381334737,11685.0194157592,11099.9004336377,9544.03919290091,8775.99260321331,9465.43756848173,10030.15130674,10062.5333268699,10501.8344543888,8854.51042626768,8997.11678075088,9055.71211045963,9222.18500950064,16175.1952965514,18814.3723351238,14680.9249218235,15720.1105632751,16994.1339201996,16662.9929182307,15566.6921916344,16180.8229998808,15178.8272385186,14581.1072012688,16222.4551563281,15326.4875239923,15608.4940033916,13710.0798235409,16064.0518195862,13395.3697859134,11727.5097190259,12650.8604378195,"","","","","","","","","","
Cayman Islands,CYM,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Cyprus,CYP,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",897.822796422292,1129.2085625727,1174.21017303439,895.586004758358,856.461506964612,991.660523962588,1071.83320066976,1125.19170723943,1212.58831464588,1265.81668804057,1232.60216027743,1239.2343398464,1266.52196967019,1287.33244918216,1257.47151900032,1399.95155462552,1567.5020038819,1578.43742454991,1619.02317923388,1731.60432345491,1743.68416309529,1935.27539640719,2038.34951103708,2277.76034816087,1964.6027854572,2140.71839961831,2057.21015009448,2160.87947270127,2133.3778620626,2254.94398348787,2192.90093525023,2183.67704597326,2332.64938624836,2145.7801792951,2141.90113217089,2189.26934100139,2272.99075056352,2367.87207637582,2276.39536277765,2165.74246153628,2065.48317346901,1910.71969466199,1630.76201859118,1641.61620767498,"","","","","","","","","","
Czechia,CZE,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",4618.40871126606,4613.78059092597,4551.29695172453,4194.68418501793,4342.96036633256,4438.4435853307,4716.46270083064,4429.80256584149,4703.03704473064,4557.31768611089,4567.93051971484,4633.61136678408,4646.5744969709,4740.97107194208,4764.26833862204,4839.93592482548,4978.25494490456,4876.22106837133,4739.00277461744,4796.94145802598,4349.23623801459,4222.41657551713,4089.40851541479,3963.3140941282,4019.8048793808,4152.93825902856,4184.88468362834,4057.40582743602,3782.88920697092,3988.03849376645,4111.15248167077,4163.45010589476,4357.57266187417,4460.25993073914,4400.87811285159,4491.51613380532,4468.96035160506,4330.7126907018,4034.7435104926,4237.89674072334,4077.35605875256,4054.08501838826,3989.99141357576,3915.11358247856,3860.00296414044,"","","","","","","","","
Germany,DEU,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1952.58863227169,1994.32463287995,2124.84853926032,2281.28992832207,2341.14631341369,2378.33973189429,2387.68487506532,2388.41234673301,2561.52258496013,2772.01092927064,3860.86493635627,3895.26472554782,4017.3373851604,4240.06186174623,4158.27162572196,3984.9742392469,4314.581637401,4336.08740419981,4483.88084693122,4685.29672767255,4562.29597278663,4399.49982340429,4257.86440735867,4268.04891217242,4447.31663526041,4598.13849473629,4589.15365580296,4616.39706207303,4629.17766609112,4514.70470646174,4421.36453086788,4302.89117530285,4190.98422047326,4122.69573982757,4088.79812984419,4119.68894801371,4246.55319132624,4203.35736659763,4177.29412931179,4079.93334441166,4094.0603595302,4209.79608663882,4108.40129887204,4084.50334562012,4114.38992751247,4086.50340728713,4204.65468948158,3985.81195485319,4036.83078099396,3790.50115157318,3997.07942080976,3869.81622904859,3876.94810409338,3939.52956270835,3779.46192078536,3817.54941455461,"","","","","","","","","
Djibouti,DJI,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",224.414357643502,"","","","","","","","","","","","","",160.992780744779,165.640450589692,167.102144983897,163.51677705002,"","","","","","","","","","","","","","","","","
Dominica,DMA,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",304.071610151234,"","","","","","","","","","","","","",568.107328584539,596.502458754037,610.41188268465,624.573329266344,"","","","","","","","","","","","","","","","","
Denmark,DNK,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1922.97367260874,2023.30839018346,2296.28956261846,2502.92764430995,2600.15582142754,2822.73484496362,3067.42783197749,3061.11010693323,3203.75227934567,3699.53044445262,3971.43072786912,3728.53802220617,3858.59212163805,3781.75720116507,3489.60645924313,3453.20722185704,3745.56183855367,3830.10381024047,3894.63776054769,4020.03654236309,3735.14408571339,3381.43445020396,3422.37480484817,3233.16010000984,3353.46120280091,3774.10113360389,3823.50180664751,3819.83212873589,3642.11964637599,3414.21160528185,3376.78330748527,3734.81839816014,3561.89036947656,3645.51534625338,3760.57723705289,3706.44018685463,4170.25202381726,3848.15584359557,3772.11027674385,3602.67063825597,3489.61479626999,3583.95572278258,3535.09801372079,3727.83417869785,3597.17296049994,3487.63191419322,3728.17103871206,3622.59683255582,3501.51384669601,3329.21106734539,3510.79684978396,3230.18803095984,3091.58158027832,3125.3377601011,2872.57354732678,2816.61456539942,"","","","","","","","","
Dominican Republic,DOM,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",517.340836039869,586.690808861702,599.459205930626,613.818900626084,610.450117064835,614.598977222626,612.871401311236,612.755375116336,621.017981319179,599.517510534493,605.523977102654,604.058787630799,627.622962340221,646.125799804104,526.631297193769,534.946086016452,593.196588759951,556.022739505354,536.864842169603,561.423130158075,554.379108729998,602.601096693993,572.74063633869,645.360304863509,665.228131182165,681.816416350073,747.682857932112,777.218369067437,795.407832722093,841.044291890091,802.943207233068,839.375479751724,783.091479207449,698.586100746719,749.563633044605,766.382694782877,770.019495205939,762.696422173312,739.043027704761,766.798147690851,771.066180784488,804.095582593402,748.842461908097,740.837890217544,"","","","","","","","","","
Algeria,DZA,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",245.724996552931,278.682743109621,326.471803442211,342.712678136231,352.112969809286,383.968171455351,414.45125098187,495.987656119213,609.880767803121,602.20154871449,633.810291235951,798.53226201554,834.177938979328,799.033742480539,806.239522250995,881.211794913798,844.29391121441,866.69299649732,836.985015038689,874.261865926644,902.985955632938,902.077310353302,883.771293726506,833.218687273147,851.558143744101,808.546599522944,813.23459942478,828.336821428188,872.042865945575,873.502668417859,863.343436248463,911.280286014525,955.674910891154,954.132221349292,979.149602577817,1032.45613351564,1077.47584808117,1070.54386510069,1148.5747501898,1107.72719068152,1133.1648627486,1220.98122820794,1238.59567345603,1318.00885452686,"","","","","","","","","","
East Asia & Pacific (excluding high income),EAP,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",443.348488678608,452.847010471464,459.969289955243,461.810396338019,494.888324827163,503.460011905207,537.115349369895,570.523702248345,575.7494143371,569.958737896322,561.680706951289,568.990280837714,580.521378991292,601.115120493699,609.492703175373,623.319289687384,640.904072202884,662.61887803757,669.371454243116,711.652986897687,694.994318939302,708.000952638328,739.024554031665,759.098834927901,801.852502049131,817.407256425882,815.302036689113,805.708997581662,816.893594674922,841.432913967558,863.585341399502,909.816954995213,1007.18971170854,1120.62007576472,1211.41691130475,1295.33908606433,1375.28830396331,1409.7514822521,1484.64862052551,1615.12375772369,1694.60558974906,1745.35479524514,1789.82543626587,1861.28423304655,"","","","","","","","","","
Early-demographic dividend,EAR,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",398.504079016843,401.164711217984,418.145470243368,428.273465158095,436.083101339563,447.713502120311,460.308243006477,470.07469245609,486.776066119187,503.308617702941,523.371524561792,539.643604618978,533.812494174873,538.951808359639,543.410463002888,548.093427826709,562.040444057829,569.898040501706,576.424673720502,612.297964019041,624.674054891307,628.385266507828,635.990302272451,648.196623328656,658.064852411136,664.307749788009,675.330502582414,680.546369484988,693.275623853072,695.554061324453,696.660105187328,704.913929721609,712.243821152211,734.549949134945,751.532652543574,774.438363672964,789.186716932892,810.609869503864,827.061817585763,844.665640371472,845.000803529242,869.344946403246,864.608270449087,880.86381075272,"","","","","","","","","","
East Asia & Pacific,EAS,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",658.314332068354,678.882142248014,711.270789115115,711.709809620273,725.634047316867,748.011804968125,784.534198374368,816.583246593605,834.689943824894,823.687326239599,806.014928787112,812.209134465035,821.299243720221,856.531026782171,862.568152638895,880.440396898546,901.246437287864,938.669999375052,956.525978235522,1015.36352155071,1004.93622135807,1027.49409982622,1065.48535640527,1099.56707226013,1145.29723457364,1171.4687067783,1179.28798579919,1158.13867109438,1179.84708831854,1213.56448429449,1229.07640365927,1273.20670279597,1361.14418769615,1474.129691411,1548.35592908006,1625.90296645504,1699.99130881042,1722.78528657183,1774.54611690222,1916.30883514013,1973.01698145967,2010.30844870055,2049.33951695029,2119.33560735824,"","","","","","","","","","
